epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,73.262,0.47102,0.69198,0.50295,0.90227,0.91883,0.93001,0.93199,0.82961,0.91883,0.93001,0.93089,0.7828,0.45784,0.62397,0.42174,0.77892,0.00033425,0.00033425,0.00033425
76,74.0342,0.46382,0.70054,0.48647,0.88982,0.90937,0.94727,0.94534,0.84521,0.9023,0.93921,0.93046,0.78105,0.41868,0.62251,0.40053,0.76109,0.000321875,0.000321875,0.000321875
77,74.7993,0.4687,0.71416,0.48591,0.90353,0.9095,0.94687,0.94623,0.84787,0.9095,0.94687,0.94572,0.78868,0.41426,0.62132,0.39737,0.75504,0.0003095,0.0003095,0.0003095
78,75.5566,0.43902,0.67819,0.4631,0.88945,0.90274,0.9383,0.93213,0.84246,0.90987,0.94635,0.94727,0.78508,0.4004,0.64469,0.39282,0.75095,0.000297125,0.000297125,0.000297125
79,76.3154,0.46398,0.71918,0.46841,0.89958,0.92261,0.9198,0.93489,0.85059,0.92989,0.92779,0.95067,0.78479,0.38057,0.62878,0.38935,0.74852,0.00028475,0.00028475,0.00028475
80,77.0909,0.44843,0.68691,0.46507,0.89431,0.93877,0.91947,0.93543,0.85656,0.9459,0.92754,0.9517,0.79184,0.36886,0.60803,0.38688,0.7474,0.000272375,0.000272375,0.000272375
81,77.9931,0.47826,0.78058,0.47966,0.90329,0.92065,0.92796,0.93495,0.84871,0.92065,0.92796,0.93603,0.7905,0.38165,0.60695,0.38862,0.75028,0.00026,0.00026,0.00026
82,78.7504,0.45047,0.69858,0.45765,0.89024,0.92165,0.92815,0.93506,0.85364,0.92165,0.92815,0.93374,0.79236,0.38781,0.61799,0.38427,0.75061,0.000247625,0.000247625,0.000247625
83,79.5085,0.46002,0.72872,0.46758,0.89758,0.9267,0.93628,0.94831,0.85111,0.9267,0.93628,0.94492,0.79721,0.37486,0.59507,0.38255,0.74854,0.00023525,0.00023525,0.00023525
84,80.3045,0.44308,0.66646,0.47311,0.88685,0.92077,0.93714,0.94052,0.84317,0.92077,0.93714,0.94014,0.78559,0.36041,0.58167,0.37728,0.75253,0.000222875,0.000222875,0.000222875
85,81.0641,0.43803,0.65093,0.45825,0.88948,0.91256,0.94423,0.94112,0.84091,0.91256,0.94423,0.9409,0.7818,0.38277,0.59953,0.38225,0.76497,0.0002105,0.0002105,0.0002105
86,81.8274,0.45029,0.6764,0.46513,0.89581,0.91036,0.9476,0.936,0.83643,0.91036,0.9476,0.93581,0.77896,0.38162,0.60545,0.38464,0.76486,0.000198125,0.000198125,0.000198125
87,82.5998,0.44742,0.65488,0.46147,0.89556,0.90851,0.94736,0.93182,0.83298,0.90851,0.94736,0.92974,0.77408,0.36868,0.60206,0.3814,0.75729,0.00018575,0.00018575,0.00018575
88,83.3803,0.46206,0.67992,0.45603,0.90008,0.91943,0.9472,0.93096,0.83648,0.91943,0.9472,0.92836,0.77421,0.37522,0.58276,0.36939,0.75387,0.000173375,0.000173375,0.000173375
89,84.2615,0.42722,0.65791,0.43591,0.89233,0.92059,0.94803,0.93475,0.8347,0.91347,0.93996,0.91623,0.76933,0.38698,0.57927,0.36685,0.75651,0.000161,0.000161,0.000161
90,85.0382,0.44339,0.65558,0.4576,0.87739,0.92067,0.94847,0.94175,0.84287,0.91356,0.9404,0.92414,0.77919,0.38026,0.58522,0.36516,0.75374,0.000148625,0.000148625,0.000148625
91,86.3442,0.39002,0.62707,0.5005,0.85938,0.9132,0.94096,0.92493,0.84338,0.9132,0.94096,0.92511,0.78185,0.36825,0.59942,0.36698,0.74965,0.00013625,0.00013625,0.00013625
92,87.1567,0.35638,0.56621,0.43983,0.84172,0.92068,0.94907,0.95002,0.86051,0.91362,0.94101,0.93458,0.79264,0.35709,0.61031,0.37195,0.74262,0.000123875,0.000123875,0.000123875
93,87.9475,0.35458,0.58356,0.42791,0.8443,0.92009,0.94874,0.95063,0.85891,0.91296,0.94069,0.93425,0.79586,0.359,0.60115,0.38057,0.74233,0.0001115,0.0001115,0.0001115
94,88.753,0.35516,0.53892,0.42069,0.84904,0.91863,0.94816,0.94986,0.86281,0.91157,0.9401,0.93406,0.79076,0.36402,0.59038,0.37858,0.74498,9.9125e-05,9.9125e-05,9.9125e-05
95,89.5303,0.34312,0.53675,0.41976,0.83113,0.91814,0.94724,0.9476,0.85705,0.91107,0.93918,0.93161,0.79081,0.3639,0.58517,0.37339,0.74435,8.675e-05,8.675e-05,8.675e-05
96,90.3508,0.35999,0.5616,0.41103,0.84981,0.91955,0.94655,0.94185,0.85104,0.91247,0.93848,0.92484,0.78756,0.35966,0.5834,0.36728,0.74501,7.4375e-05,7.4375e-05,7.4375e-05
97,91.3131,0.36001,0.54704,0.42268,0.85797,0.92044,0.94627,0.94128,0.85167,0.91334,0.9382,0.92458,0.78826,0.35223,0.58658,0.36522,0.74379,6.2e-05,6.2e-05,6.2e-05
98,92.0654,0.32838,0.51825,0.38377,0.83561,0.92071,0.94568,0.93746,0.84735,0.91361,0.93762,0.92108,0.78115,0.3466,0.58871,0.36147,0.74284,4.9625e-05,4.9625e-05,4.9625e-05
99,92.851,0.32965,0.51802,0.38571,0.83758,0.92089,0.94543,0.93524,0.84591,0.91375,0.93746,0.91909,0.77705,0.34557,0.58742,0.36147,0.74335,3.725e-05,3.725e-05,3.725e-05
100,93.6159,0.33772,0.53641,0.39815,0.84719,0.91367,0.93742,0.91921,0.84491,0.91367,0.93742,0.9186,0.77496,0.34677,0.59393,0.36599,0.74375,2.4875e-05,2.4875e-05,2.4875e-05
